reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
5d99251e-5cb6-4dfe-bf8d-9f2717f8e028,Rajkishor Shah,You no any gift me sir Sir am very poor sir plz help me as my fb page grow plz sir no eat rice sir house😔😔,5,0,475.1.0.46.82,2024-08-07T05:08:30,475.1.0.46.82
92f621d8-c28a-41cb-9ca2-f7a2b5c5aa02,Kanubhai Kansara,best tourist places & best' services of Flemingo travels,5,0,475.1.0.46.82,2024-08-07T05:08:13,475.1.0.46.82
075f3347-0d00-43e4-a81a-b61d754a8ea3,Mahakal ka Bhagat Mahakal bhole Baba Shyam saini,Very nice ji,5,0,475.1.0.46.82,2024-08-07T05:07:41,475.1.0.46.82
9a4bc37a-54f2-41d9-8320-46ae0fc9659c,Faizan Brohi,good 😊,5,0,456.0.0.39.90,2024-08-07T05:05:58,456.0.0.39.90
36f0c1fd-b78c-498a-a972-ffa7c40f68bb,Jen,Intrusive. Restricting and is not worth it,1,0,,2024-08-07T05:05:33,
15bf59ee-dc0a-4dd3-92e9-6ff4d1bdfb2e,Tariq Kahn,good 👍😊,4,0,475.1.0.46.82,2024-08-07T05:05:28,475.1.0.46.82
3979939d-754a-415b-8cd0-32c2f8ee050c,Vishnu Mehta,Best earning money app 😍❤👑,5,0,436.0.0.35.101,2024-08-07T05:05:20,436.0.0.35.101
948b6852-6eb4-494e-9f3f-ff75c23ed548,vishal singh,आ ऊओ 99ओप9ओकेओ ओपी पर ओओओओ 9आऊओ ऊओओओओओ ओऊ ओऊओ ओलंपिक स्वर्ण कलश स्थापित है पर ऊओ हैं आईपीओ ओपी ऊओऊ आज ओओ ओपीओ ओ ऊओओओओओ ओओओओओ पर आधारित हो9ओप 9ओओओ ओती ऊओपू आऊं आईओ आपी ओय ऊओओ उप आऊ ऊऊओ ईओ ऊओओ ऊऊओ ओप पुलों की कोकिलक्लक्लोक,1,0,473.0.0.41.81,2024-08-07T05:05:16,473.0.0.41.81
433d12eb-60b7-47d3-aafd-fe5dacbd6867,VINCE SATURINAS,someone reported my account and I didn't do anything to violate the rules and facebook approved the restrictions to my account. Our topic was about phone's refresh rate and someone reported sexual Activity on my message. This is no fair!,1,0,475.1.0.46.82,2024-08-07T05:05:07,475.1.0.46.82
e1d47b37-1c26-4f44-8fc7-52fe753f74c3,Shahajan Khan,নিলুয়,5,0,474.0.0.52.74,2024-08-07T05:03:55,474.0.0.52.74
d7bcfe8d-8a00-4c65-a487-c905a820c961,Halim Ahmed,Febr।ee।,5,0,475.1.0.46.82,2024-08-07T05:03:33,475.1.0.46.82
93895217-de49-4578-b66e-b95549845aef,Adnan Bhatti,nice,3,0,475.1.0.46.82,2024-08-07T05:02:19,475.1.0.46.82
7ec9741c-1a7b-4107-9fe1-2a5b15a51abc,Haseena Shaikh,Hajiboss,5,0,474.0.0.52.74,2024-08-07T05:01:50,474.0.0.52.74
afd1df4c-7697-4024-8133-c457dd0b33cc,Craig Thorn,no chance of Facebook taking action against scammers. but if you repost what is clearly a meme about a certain Turkish shooter the Facebook fact police will be on you in a flash.,1,0,475.1.0.46.82,2024-08-07T05:01:04,475.1.0.46.82
c052c73b-4fcc-497b-9e34-1bf3f3bf033c,Lyon Kt,nc 👩‍❤️‍💋‍👩🇧🇮,1,0,475.1.0.46.82,2024-08-07T04:59:56,475.1.0.46.82
91956b52-c7bf-45b4-9d01-7622d53361a7,Sijan Kumar Chakma,ok,1,0,475.1.0.46.82,2024-08-07T04:58:32,475.1.0.46.82
ca79348b-fb11-427e-9f0e-ab068c2aabb9,Junlie Batan,Tianchon Silverio,5,0,,2024-08-07T04:58:03,
9d019381-7e63-4db5-a054-813c79528227,Jagjeet Bamrah,ok ji thnx,5,0,475.1.0.46.82,2024-08-07T04:57:56,475.1.0.46.82
fb94dd7a-17b3-4e06-847c-4f510814dd2b,Newphone,good,5,0,471.0.0.35.80,2024-08-07T04:57:53,471.0.0.35.80
31507812-0b9c-4f9c-8de2-e984e4dfe0b3,Ma KuingLay,ok facbook,5,0,475.1.0.46.82,2024-08-07T04:57:37,475.1.0.46.82
18469ac7-478c-4133-9955-cf4566a48527,Vipin Roy,ok,4,0,475.1.0.46.82,2024-08-07T04:56:46,475.1.0.46.82
96b99f4d-a19f-4d9a-8c9f-1d66a02803aa,Vincent meade,Very good,5,0,475.1.0.46.82,2024-08-07T04:56:22,475.1.0.46.82
eaa21f22-e1e5-4e05-8845-9d4ca384e939,Elvis Pres,👍👍👍👍👍,5,0,475.1.0.46.82,2024-08-07T04:56:08,475.1.0.46.82
66cf5583-88ee-47e9-9d23-71e98ec29a00,Ghulam nabie Chaudhry,Nice,5,0,474.0.0.52.74,2024-08-07T04:55:45,474.0.0.52.74
fdd3f234-ec8a-4d69-81db-adcb3bc42357,Muskan Soni,good,3,0,,2024-08-07T04:54:00,
a26a16de-953a-4eb8-84fb-c26f5f64e7c2,Ali Sajid,👌👌👌❤️❤️❤️❤️❤️,5,0,467.1.0.52.83,2024-08-07T04:53:55,467.1.0.52.83
dba0c3cf-9e6c-4c3a-855f-6324b14c39d2,Sarswati Devi,Santoshk,1,0,,2024-08-07T04:53:16,
7621f359-1f2d-45a2-aa32-c856b373a66b,HEERA AADBASI,HEERAJORA,5,0,475.1.0.46.82,2024-08-07T04:52:15,475.1.0.46.82
989e3c99-1cb8-4a15-95de-e16af47295b3,ELIAS FERNANDES ELIAS,MUITO BOM,5,0,469.2.0.51.80,2024-08-07T04:51:57,469.2.0.51.80
6c79270a-5541-4917-8db0-ffab69e71fc8,kesu chetry,best,5,0,475.1.0.46.82,2024-08-07T04:51:51,475.1.0.46.82
dbbba5a7-d156-42d8-b733-e87de0b996d8,Minajul Hoque,Nice প,5,0,,2024-08-07T04:51:45,
01017c9a-d2ba-4e88-9eaa-81dafff3d040,L.H Hanif Khan,ওকে,5,0,475.1.0.46.82,2024-08-07T04:51:05,475.1.0.46.82
85de1334-4937-499a-9d75-8815d5ad5cb3,Shrinarayan Yadav,Labkush yadav,5,0,467.1.0.52.83,2024-08-07T04:50:12,467.1.0.52.83
0b7f81d3-76a5-4f7f-964f-8e795c66c027,Md Sohel,Thanks to,5,0,474.0.0.52.74,2024-08-07T04:49:58,474.0.0.52.74
911cd3ad-72bd-4a73-923c-dc123910eec8,Lokendra Thapa,make security level high.,5,0,475.1.0.46.82,2024-08-07T04:49:54,475.1.0.46.82
82547500-cf33-4544-b09d-76a014d2bb7d,lai yoke hman,Full of scammer ads that facebook won't bother with.,1,0,475.1.0.46.82,2024-08-07T04:49:27,475.1.0.46.82
9072debb-0718-4200-ad8a-6e96c3b88da9,Md Nasir,Wow,5,0,475.1.0.46.82,2024-08-07T04:49:24,475.1.0.46.82
083f2cb9-3d9c-438e-9081-a07ce03f7464,Akshat Shah,I use facebook since 2011 it's best app to socialize and you can watch movies shorts post and Ui is very simple . But there are many frauds and scammer is happening in facebook right now so don't trust any one after they sent request to you .,4,0,410.0.0.26.115,2024-08-07T04:47:25,410.0.0.26.115
9c02de14-06dd-40e7-bfc9-045a8a718687,Sushil Kumar,Verry good,5,0,,2024-08-07T04:47:06,
18775c31-a4d0-4f7f-84ea-b87f277b0550,Arun Kumar,good,5,0,475.1.0.46.82,2024-08-07T04:47:04,475.1.0.46.82
81335593-195b-47e2-9532-4645994c39f5,Prakash Rajak,good 👍,5,0,469.2.0.51.80,2024-08-07T04:46:52,469.2.0.51.80
09115fb8-fdc1-42d9-bcb3-60080260a86a,mark watkins,Poor. If u like being bombarded by ads and not seeing what your friends are up to its ideal!!...,2,0,475.1.0.46.82,2024-08-07T04:45:58,475.1.0.46.82
05e4dd59-397b-43be-9e07-53fb554d07a4,MD SHOHIDUL,nice,5,0,475.1.0.46.82,2024-08-07T04:45:39,475.1.0.46.82
7bafa3e8-c6fa-4b6b-a5c1-4f395a81b01c,Gyamfl Isaac,The kingdom church Ghana I can see it again.,5,0,438.0.0.33.118,2024-08-07T04:45:35,438.0.0.33.118
8f77f094-743f-44ea-bb59-6d0ba8d67f4b,Nurjamal Ali Paramanik,This application is very well work ☺️😊,4,0,473.0.0.41.81,2024-08-07T04:45:19,473.0.0.41.81
33a37410-06cf-4915-a232-9870aba5e3b5,MD Hadib,Hasib,5,0,,2024-08-07T04:44:42,
0ea53be6-9b5a-454b-abfc-c6a0b2e6db46,Selvaganapathi V,It's das super,5,0,,2024-08-07T04:44:33,
fb537c45-9c47-4e75-bece-de2a10a5650a,Jacob Barnes,"if I could give absolutely no stars I would, tell sucks berg and his meta team to quit being communist and let free speech be free. got a problem with it? completely remove India from all social media platforms and problem solved",1,0,475.1.0.46.82,2024-08-07T04:43:46,475.1.0.46.82
8f7717c9-4967-4e5b-8893-cbd40c98daac,md siyam,It's very good apps for social media platform.,5,0,475.1.0.46.82,2024-08-07T04:43:45,475.1.0.46.82
c5cb1ce8-e952-4243-855e-80cf5a33de6e,Joanna Mihalovic,I don't like the way things are set up,5,0,475.1.0.46.82,2024-08-07T04:42:55,475.1.0.46.82
19b74564-ec52-4621-bea8-3e354b1dea3a,Raj Babu,Raj babu 660,3,0,,2024-08-07T04:42:48,
31c98371-88bd-4baf-a3c2-053165acb04a,Suraj Rai,👌🫵,5,0,473.0.0.41.81,2024-08-07T04:42:03,473.0.0.41.81
d07b0f31-a3df-4912-b22d-d5fc15f8a3f0,Rachna Kasana,♥️👍🏼✌🏾,5,0,334.0.0.32.119,2024-08-07T04:41:20,334.0.0.32.119
2b46a464-b175-4b0c-a670-6024ae01a711,MD Nasir,good,5,0,475.1.0.46.82,2024-08-07T04:41:16,475.1.0.46.82
66a59175-e465-4b7c-bd4e-db60abcb75ea,Md Parvej islam,Md parvej 2580y,5,0,462.0.0.47.85,2024-08-07T04:40:56,462.0.0.47.85
93922389-08ad-4c14-ba30-cf49ba4309f9,Farida Juma,I like it,5,0,475.1.0.46.82,2024-08-07T04:39:38,475.1.0.46.82
727be63b-cd17-4e25-bc1a-f69872169792,Surju Haldar,Niec 😚,5,0,,2024-08-07T04:39:29,
85e5fa6c-16f4-4832-8255-997dd52ae6b3,Akash My 50,Nood,1,0,,2024-08-07T04:38:38,
4f19e65f-6ac3-4753-ac5a-fd8ace9f7dd8,King Khan,In lo 9op,2,0,475.1.0.46.82,2024-08-07T04:38:25,475.1.0.46.82
5832939f-4df3-4f30-b5b3-fb02fd0635fd,Dipanshu Kumar,Dipanshu. Kumar Ankit. Kumar Rajni devi,4,0,436.0.0.35.101,2024-08-07T04:38:18,436.0.0.35.101
28596d74-1158-4c99-8b0f-7e237471f662,Tanmoy Khan,Faltu,1,0,475.1.0.46.82,2024-08-07T04:37:57,475.1.0.46.82
cd2f8faf-01a0-4648-a6ee-ccb363e1d2ce,Alok Kumar,good,5,0,475.1.0.46.82,2024-08-07T04:35:45,475.1.0.46.82
6ae999f3-4d09-4c26-8aef-394634f4861a,Abdul Ahad,nine biutiful,5,0,,2024-08-07T04:35:06,
81a498d7-205e-412b-9bfb-32ea111c6399,Monday John,good,5,0,475.1.0.46.82,2024-08-07T04:34:46,475.1.0.46.82
64d411da-4bc3-448c-81b0-7bd109990c4e,Mithileshwar Yadav,nice,5,0,473.0.0.41.81,2024-08-07T04:34:26,473.0.0.41.81
cbcd62b2-b3d9-46ab-b5a6-4f66014c1eba,মুনতাজুর রহমান সৎ পথে চল সত্য বল,montazur rahman,5,0,404.0.0.35.70,2024-08-07T04:33:55,404.0.0.35.70
9ae13af6-2529-487c-9784-389d1d6e7538,Raviraj Suryawanshi,nice video,5,0,474.0.0.52.74,2024-08-07T04:33:53,474.0.0.52.74
02d17d25-b03c-479f-a4b1-a0589ea2cd72,Golu Kumar,Ok,5,0,475.1.0.46.82,2024-08-07T04:33:05,475.1.0.46.82
fc8d6d01-55bc-45ea-a824-c0757f85340d,Rambali Thakur,good,5,0,,2024-08-07T04:32:52,
0c63f0ca-3e45-474d-8369-c039806ecfec,Ronna jane Rañowa,ok,5,0,,2024-08-07T04:32:33,
1549478b-816e-4a6e-a66c-0140bc6ab299,Bonang Phelane,App works best on my phone. I like it for all this delicious creactivity tools brewed in. Displays and views outstanding.,5,0,179.0.0.44.83,2024-08-07T04:31:43,179.0.0.44.83
d943bb68-1665-4ea3-b259-1abaf2b7798e,Zayn Guadiz,thank you Facebook,5,0,475.1.0.46.82,2024-08-07T04:31:34,475.1.0.46.82
c26b7ed6-f709-4c49-bc72-a961ab00f76b,Arun Pandit,I am using the Facebook because my bgmi account is log in to Facebook account,5,0,466.1.0.57.85,2024-08-07T04:31:06,466.1.0.57.85
e94f7da3-6751-4bff-a7ff-5a3ce3c8c76b,Mel,Only one thing I hate is all the scammers that hack into everyone's profile ... disappointed totally,3,0,475.1.0.46.82,2024-08-07T04:30:00,475.1.0.46.82
b3ca0aa6-99ff-4b27-b6b6-8cf234427099,Inzmam ul Haq,fantastic,2,0,474.0.0.52.74,2024-08-07T04:30:00,474.0.0.52.74
4ecab89f-6bd1-499e-b84a-730c29305e39,Nick Pellazar,Very good,4,0,475.1.0.46.82,2024-08-07T04:29:53,475.1.0.46.82
ba13a669-2db0-43cd-9e0d-af1292165af0,Noli Peligan,I'm. .. Xh,2,0,475.1.0.46.82,2024-08-07T04:29:44,475.1.0.46.82
379562da-1751-486d-ab5a-c1cc92da3b93,Haider Qureshi,good 👍,5,0,475.1.0.46.82,2024-08-07T04:28:39,475.1.0.46.82
d5cf5111-2ab7-4da8-98f6-eba267538a76,Yvonne,"it's ok, I just need more friends...lol",4,0,475.1.0.46.82,2024-08-07T04:28:03,475.1.0.46.82
7f3dc19d-0148-4fe8-a686-e599bba22584,BD Sanjit,গুড,5,0,475.1.0.46.82,2024-08-07T04:27:43,475.1.0.46.82
e2c18761-e96e-4f85-b5f4-9bd0b4c6ef39,Cynthia Thomas,Facebook has helped me to reach out to family and friends far away,5,0,475.1.0.46.82,2024-08-07T04:26:29,475.1.0.46.82
bf7cde42-7155-465d-882e-fb2f6da247b0,Arjun Badaya,nice so nice,5,0,475.1.0.46.82,2024-08-07T04:26:23,475.1.0.46.82
4908a0e9-9bb0-4c15-9b2c-2567c4474690,Nirmale Lokesh,ಸುಪರ್,5,0,423.0.0.21.64,2024-08-07T04:26:12,423.0.0.21.64
3198bffc-e20f-43c6-84ef-a6e2abf425e9,Akash Gupta,nice application❤,5,0,475.1.0.46.82,2024-08-07T04:25:33,475.1.0.46.82
4ea7b149-b38b-44e8-a450-be46a135892c,Mahesh Sokkam,👌👌,5,0,472.0.0.45.79,2024-08-07T04:25:16,472.0.0.45.79
2d4dd4bd-21eb-4fd1-9f2d-d9fdeaecc543,Vikash Kumar,very good,5,0,,2024-08-07T04:25:03,
7a8e7c47-6a8b-4b25-9b05-a2d2fe609a50,Damon Boone,good,4,0,475.1.0.46.82,2024-08-07T04:25:03,475.1.0.46.82
5700b82f-dac2-4a52-85cf-6e35bebc8b89,Md jainal abdin Md jainal abdin,Agrofarm,3,0,475.1.0.46.82,2024-08-07T04:24:59,475.1.0.46.82
aff0c462-e164-476b-b6ee-6c45ea354aed,R. N . Gurjar Mawai,ok,1,0,475.1.0.46.82,2024-08-07T04:24:20,475.1.0.46.82
03231e83-8f38-45c1-a857-595881128294,Sharry Khan,Awk,4,0,,2024-08-07T04:24:10,
a70e4b4d-9eda-4f60-8d9a-6ff60be50147,Nathan Zetterlund,What's to review? It's a monopoly on social media which increasingly has shown a willingness to censor common sense speech and ideas and force a progressive agenda.,1,0,475.1.0.46.82,2024-08-07T04:24:01,475.1.0.46.82
471f957b-92ac-4691-b112-cfd8aa71ed38,Nasim Hossen,good,5,0,475.1.0.46.82,2024-08-07T04:22:57,475.1.0.46.82
ef42b4ce-63c6-43ce-85c4-5290eefc75ec,Jyoti Pawar,"Pppp0li lip""""e( l",4,0,475.1.0.46.82,2024-08-07T04:22:56,475.1.0.46.82
61a06057-9967-4a4f-bbba-10b8ce4ca74e,Junior Wizzey,dope,5,0,475.1.0.46.82,2024-08-07T04:22:36,475.1.0.46.82
80f449da-014e-4072-aaa2-9fee408e0d4a,Vivek Raj,विवेक राज,5,0,,2024-08-07T04:22:32,
2c9e115d-80dc-4ee4-987c-2c1eed85e620,Samir Das,awesome,5,0,,2024-08-07T04:22:25,
34447d8f-f772-4994-b362-b2110085e2e2,Muhammad Haidar Ali Muhammad Haidar Ali,💔,1,0,467.1.0.52.83,2024-08-07T04:21:49,467.1.0.52.83
18755aa4-8277-4e4f-87f3-b754281c5789,Deep Sidhu,very good,5,0,475.1.0.46.82,2024-08-07T04:21:31,475.1.0.46.82
f856665b-6b2e-493a-81f6-6788736b6e60,hmna Bilal,Bekwas app i hate it,1,0,,2024-08-07T04:21:25,
5604ff1b-4ae9-4a44-bf7a-7dbae78b88ca,marof ahamed,Good,5,0,465.0.0.63.83,2024-08-07T04:21:13,465.0.0.63.83
d23d940e-4a70-452e-b02a-feefc6895a29,Jeffrey Barcenas,impressive,3,0,475.1.0.46.82,2024-08-07T04:20:33,475.1.0.46.82
bbb673de-82f8-4c8d-8254-30bf95f73b71,moor ali,for you,5,0,475.1.0.46.82,2024-08-07T04:20:12,475.1.0.46.82
fde166d0-02a5-4db8-898c-e589a51361dd,Cynthia Beatty,powerful roan stallion,5,0,,2024-08-07T04:20:10,
00cab03d-c4c6-4618-881b-b579bf4a9847,Jeeban Gahtraj,awesome,5,0,475.1.0.46.82,2024-08-07T04:20:08,475.1.0.46.82
1b5e2c07-14fd-4ef5-9900-0bf4ea14e485,MICHVIBEZ JOHN,Partially you are doing good but we need more attention in the aspect of you restricting account. I keep up creating new facebook we need more security,5,0,475.1.0.46.82,2024-08-07T04:19:40,475.1.0.46.82
